scen_id,src_node,node_id,peak_conc,t_peak_min,mean_flow_m3s,mean_vel_ms,detected
0016,J2,J4,0.0,,0.0,0.0,0
0016,J2,J6,0.0,,0.0,0.0,0
0016,J2,J7,0.0,,0.0,0.0,0
0016,J2,J8,0.0,,0.0,0.0,0
0016,J2,J9,0.0,,0.0,0.0,0
0016,J2,J10,0.0,,0.0,0.0,0
0016,J2,SU1,0.0,,0.001575,0.0,0
0016,J2,J_out,0.0,,0.000198,0.0,0
0016,J2,O2,0.0,,0.000195,0.0,0
0017,J3,J1,0.0,,0.0,0.0,0
0017,J3,J5,7122.3757,365.0,8.5e-05,0.0,1
0017,J3,J2,0.0,,0.0,0.0,0
0017,J3,J11,6606.9936,832.0,0.00011,0.0,1
0017,J3,J3,7133.3333,224.0,8.2e-05,0.0,1
0017,J3,J4,7133.3333,332.0,8.3e-05,0.0,1
0017,J3,J6,6955.4878,492.0,0.0001,0.0,1
0017,J3,J7,0.0,,0.0,0.0,0
0017,J3,J8,6955.4878,696.0,0.000112,0.0,1
0017,J3,J9,6942.087,769.0,0.000112,0.0,1
0017,J3,J10,6652.9286,786.0,0.000115,0.0,1
0017,J3,SU1,5477.7187,792.0,0.000109,0.0,1
0017,J3,J_out,5477.7187,793.0,3e-06,0.0,1
0017,J3,O2,5385.2704,810.0,2e-06,0.0,1
0018,J6,J1,0.0,,0.0,0.0,0
0018,J6,J5,0.0,,0.0,0.0,0
0018,J6,J2,0.0,,0.0,0.0,0
0018,J6,J11,2923.9531,814.0,0.000129,0.0,1
0018,J6,J3,0.0,,0.0,0.0,0
0018,J6,J4,0.0,,0.0,0.0,0
0018,J6,J6,3202.9478,597.0,0.000118,0.0,1
0018,J6,J7,0.0,,0.0,0.0,0
0018,J6,J8,3202.9478,727.0,0.000125,0.0,1
0018,J6,J9,3189.7735,756.0,0.000127,0.0,1
0018,J6,J10,2984.6817,770.0,0.00013,0.0,1
0018,J6,SU1,2314.1928,1068.0,0.00013,0.0,1
0018,J6,J_out,2314.1928,1069.0,7e-06,0.0,1
0018,J6,O2,2301.9149,1078.0,7e-06,0.0,1
0019,J4,J1,0.0,,0.0,0.0,0
0019,J4,J5,4719.8172,255.0,9.2e-05,0.0,1
0019,J4,J2,0.0,,0.0,0.0,0
0019,J4,J11,4541.472,708.0,0.00012,0.0,1
0019,J4,J3,0.0,,0.0,0.0,0
0019,J4,J4,4720.783,65.0,8.7e-05,0.0,1
0019,J4,J6,4676.2749,256.0,0.00011,0.0,1
